wallet,from_address,to_address,hash,block,timestamp,tx_type,method_id,direction,asset,amount,token_amount,chain
0x7507c9ee7fc92d164cc1c02cdd2a3f0f4079722c,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,0x7507c9ee7fc92d164cc1c02cdd2a3f0f4079722c,0xbf31ecdde8821486604591d531c27b58594ed96b030b046af9c07f8c79814e97,0xa73511,1708705541,external,0x,in,ETH,0.1,0x16345785d8a0000,base
0x7507c9ee7fc92d164cc1c02cdd2a3f0f4079722c,0x404e927b203375779a6abd52a2049ce0adf6609b,0x7507c9ee7fc92d164cc1c02cdd2a3f0f4079722c,0x9bc813eeb6a94624c6fc0d43194a2a5ffa2ac60e402fd330b813ab30df33c597,0xa79c9a,1708758551,erc20,0x7ff36ab5,in,BRETT,27738341.760817572,0x16f1d28518e6572d7b2b4c,base
0xf392a92d8750d3f948033d04545ee85df289306a,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,0xf392a92d8750d3f948033d04545ee85df289306a,0x57f90fad0c31c1d06af8f6270bb5bca53266c5fb307e6f623ff8534094432814,0xa72373,1708696521,external,0x,in,ETH,0.05,0xb1a2bc2ec50000,base
0xf392a92d8750d3f948033d04545ee85df289306a,0x404e927b203375779a6abd52a2049ce0adf6609b,0xf392a92d8750d3f948033d04545ee85df289306a,0x36c7aba8778d28e3d19964fba436a89fd0aad1601e105a6156d7a040c1c4612e,0xa79bd6,1708758159,erc20,0xfb3bdb41,in,BRETT,72407898.0,0x3be4f8040dca9b65280000,base
0xf392a92d8750d3f948033d04545ee85df289306a,0x404e927b203375779a6abd52a2049ce0adf6609b,0xf392a92d8750d3f948033d04545ee85df289306a,0xce623bedffdffc95cea775b37cfd70768bda0c27355b0922e85fb36b27b043da,0xa79bdb,1708758169,erc20,0xfb3bdb41,in,BRETT,77557938.0,0x4027883e60294223880000,base
0xf392a92d8750d3f948033d04545ee85df289306a,0xf392a92d8750d3f948033d04545ee85df289306a,0x404e927b203375779a6abd52a2049ce0adf6609b,0x525b9712def72ee38821e9a9687a0282d2d39257800696594a80cbbc1b60cd8b,0xa79ede,1708759711,erc20,0x791ac947,out,BRETT,149965836.0,0x7c0c80426df3dd88b00000,base
0xf392a92d8750d3f948033d04545ee85df289306a,0xf392a92d8750d3f948033d04545ee85df289306a,0x2f66ace812532a9508520ebec6afd08c32338022,0xb50629b9ea8b98079f7f52b5e98351b967ca50573f08eca17a2838b80b903c71,0xa79f1f,1708759841,external,0x,out,ETH,2.0499,0x1c72b5306d12c000,base
0x329b3967cc086d9a7e47299b16ba1d2c045ad9a3,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,0x329b3967cc086d9a7e47299b16ba1d2c045ad9a3,0x8c4a88df0ea8a0c80710e25cb972854b0bf8b5985fb034e12811fb84458d008c,0xa7340e,1708705023,external,0x,in,ETH,0.05,0xb1a2bc2ec50000,base
0x329b3967cc086d9a7e47299b16ba1d2c045ad9a3,0x404e927b203375779a6abd52a2049ce0adf6609b,0x329b3967cc086d9a7e47299b16ba1d2c045ad9a3,0x5229e8cc19606596eb666969a582fe3ee32406fa7858e8072a31e1001d1e02a9,0xa79c5c,1708758427,erc20,0xfb3bdb41,in,BRETT,100000000.0,0x52b7d2dcc80cd2e4000000,base
0x329b3967cc086d9a7e47299b16ba1d2c045ad9a3,0x329b3967cc086d9a7e47299b16ba1d2c045ad9a3,0x404e927b203375779a6abd52a2049ce0adf6609b,0xfca51eb6e587f7ab99308cc4ca942bca560241e34b0173da8f70c7ff822e456c,0xa79c91,1708758533,erc20,0x791ac947,out,BRETT,100000000.0,0x52b7d2dcc80cd2e4000000,base
